epoch,dice_coef,loss,lr,val_dice_coef,val_loss
0,0.606925,0.9914532573209645,1e-05,0.8471848368644714,0.7951393723487854
1,0.7150804,0.6320555617580306,1e-05,0.8919058442115784,0.5315110087394714
2,0.7426957,0.5353299032496868,1e-05,0.8902938365936279,0.41048088669776917
3,0.7517082,0.49565518272798614,1e-05,0.9045661687850952,0.3671494126319885
4,0.7625837,0.46042155343933966,1e-05,0.9127365946769714,0.36267828941345215
5,0.76300853,0.45682586081283916,1e-05,0.9096442461013794,0.3388901650905609
6,0.7623654,0.44190106048422345,1e-05,0.9065980315208435,0.3366186022758484
7,0.77164763,0.4229341790837757,1e-05,0.9189055562019348,0.316295862197876
8,0.76726836,0.42048289193271915,1e-05,0.9109602570533752,0.3195992410182953
9,0.7783227,0.4083910182876102,1e-05,0.9197179079055786,0.3114861249923706
10,0.7764207,0.4047041113598872,1e-05,0.9084477424621582,0.3095330595970154
11,0.77911294,0.3937621858749686,1e-05,0.9166264533996582,0.2968399226665497
12,0.78282034,0.3864930613061129,1e-05,0.9261052012443542,0.29640623927116394
13,0.7810444,0.3850989679748056,1e-05,0.9170442223548889,0.29096609354019165
14,0.7843099,0.38093811900770597,1e-05,0.9122169017791748,0.3038577437400818
15,0.78681064,0.37438449629787673,1e-05,0.9240477681159973,0.27580520510673523
16,0.7856209,0.37436592103229405,1e-05,0.9166886210441589,0.2907084822654724
17,0.7830359,0.3763300145076493,1e-05,0.9281054139137268,0.28279271721839905
18,0.78583485,0.37051535515630313,1e-05,0.9298869371414185,0.28660666942596436
19,0.78468513,0.3690388788611202,1e-05,0.9281846284866333,0.2643226385116577
